Symbol,SECURITY_ID
20MICRONS,16921
360ONE,13061
3MINDIA,474
5PAISA,445
63MOONS,11868
AADHARHFC,23729
AARTIDRUGS,4481
AARTIIND,7
AARTIPHARM,13868
AAVAS,5385
ABB,13
ABBOTINDIA,17903
ABCAPITAL,21614
ABDL,24308
ABFRL,30108
ABREL,625
ABSLAMC,6018
ACC,22
ACCELYA,7053
ACE,13587
ACI,12024
ACL,15420
ACLGATI,13688
ACMESOLAR,27061
ADANIENSOL,10217
ADANIENT,25
ADANIGREEN,3563
ADANIPORTS,15083
ADANIPOWER,17388
ADFFOODS,19761
ADORWELD,34
ADSL,14813
ADVANIHOTR,14745
ADVENZYMES,18039
AEGISLOG,40
AEROFLEX,18268
AETHER,9810
AFCONS,25977
AFFLE,11343
AGARIND,3389
AGARWALEYE,29452
AGI,1412
AGIIL,24445
AHL,13293
AHLUCONT,17833
AIAENG,13086
AIIL,23553
AJANTPHARM,8124
AJAXENGG,29624
AJMERA,17307
AKUMS,24715
AKZOINDIA,1467
ALEMBICLTD,79
ALICON,13656
ALIVUS,5265
ALKEM,11703
ALKYLAMINE,4487
ALLCARGO,13501
ALLDIGI,11798
ALOKINDS,17675
AMBER,1185
AMBIKCO,15234
AMBUJACEM,1270
AMIORG,5578
AMNPLST,19867
AMRUTANJAN,17547
ANANDRATHI,7145
ANANTRAJ,13620
ANDHRAPAP,166
ANDHRSUGAR,136
ANGELONE,324
ANUHPHR,28314
ANUP,9014
ANURAS,23687
ANURAS,2829
APARINDS,11491
APCOTEXIND,154
APEX,21623
APLAPOLLO,25780
APLLTD,25328
APOLLO,1134
APOLLOHOSP,157
APOLLOPIPE,14361
APOLLOTYRE,163
APTECHT,10755
APTUS,5435
ARE&M,100
ARIHANTCAP,3813
ARIHANTSUP,20159
ARKADE,25398
ARMANFIN,17263
ARROWGREEN,9264
ARTEMISMED,16913
ARVIND,193
ARVINDFASN,9111
ARVSMART,10457
ASAHIINDIA,5378
ASAL,10634
ASALCBR,17598
ASHAPURMIN,203
ASHIANA,24403
ASHOKA,20182
ASHOKLEY,212
ASIANENE,7030
ASIANHOTNR,18425
ASIANPAINT,236
ASIANTILES,14889
ASKAUTOLTD,20152
ASTEC,17728
ASTERDM,1508
ASTRAL,14418
ASTRAMICRO,11618
ASTRAZEN,5610
ATFL,1663
ATGL,6066
ATL,17778
ATUL,263
ATULAUTO,30023
AUBANK,21238
AURIONPRO,12022
AUROPHARMA,275
AURUM,10310
AUTOAXLES,278
AVADHSUGAR,21406
AVALON,15058
AVANTEL,24610
AVANTIFEED,7936
AVL,25984
AVTNPL,14008
AWFIS,23864
AWHCL,1797
AWL,8110
AXISBANK,5900
AXISCADES,9440
AYMSYNTEX,10285
AZAD,20905
BAJAJ-AUTO,16669
BAJAJCON,19531
BAJAJELEC,15034
BAJAJFINSV,16675
BAJAJHCARE,6863
BAJAJHFL,25270
BAJAJHIND,308
BAJAJHLDNG,305
BAJAJINDEF,29678
BAJEL,20531
BAJFINANCE,317
BALAJITELE,9162
BALAMINES,14501
BALKRISIND,335
BALMLAWRIE,338
BALRAMCHIN,341
BALUFORGE,23607
BANARISUG,350
BANCOINDIA,13880
BANDHANBNK,2263
BANKBARODA,4668
BANKINDIA,4745
BANSALWIRE,24386
BARBEQUE,3127
BASF,368
BATAINDIA,371
BAYERCROP,17927
BBL,13761
BBOX,3435
BBTC,380
BCLIND,2513
BDL,2144
BECTORFOOD,1628
BEDMUTHA,20196
BEL,383
BEML,395
BEPL,419
BERGEPAINT,404
BESTAGRO,2311
